Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
FITB,Fifth Third Bancorp,Financials,19.36,2.59,11.73,1.65,18.22,17.14,21.93,15.38,0.00,2.71,1.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FITB
FSLR,First Solar,Information Technology,70.23,,12.39,5.67,53.40,39.18,72.12,7.09,0.84235,1.99,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FSLR
FE,FirstEnergy Corp,Utilities,31.74,4.54,26.99,1.18,29.85,28.89,41.68,13.43,3.23,0.92,1.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FE
FISV,Fiserv,Information Technology,89.48,,30.64,2.92,12.50,69.74,97.76,20.45,1.60,3.95,7.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FISV
FLIR,FLIR Systems,Information Technology,30.15,1.57,17.61,1.71,11.76,25.12,34.46,4.16,0.35118,2.69,2.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLIR
FLS,Flowserve Corp,Industrials,40.45,1.71,15.37,2.63,12.96,39.47,64.41,5.29,0.82068,1.16,3.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLS
FLR,Fluor Corp,Industrials,45.57,1.78,10.08,4.52,21.53,40.61,62.26,6.45,1.22,0.35,2.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLR
FMC,FMC Corp,Materials,36.01,1.69,6.25,5.76,15.82,32.58,64.72,4.81,0.7664,1.24,2.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FMC
FTI,FMC Technologies,Energy,27.51,,12.72,2.16,10.98,27.47,44.53,6.27,1.13,0.93,2.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTI
F,Ford Motor,Consumer Discretionary,13.255,4.260,11.092,1.195,6.921,10.440,16.740,52.60,13.26,0.375,1.982,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F
FOSL,Fossil Group,Consumer Discretionary,32.685,,5.333,6.129,18.077,30.650,106.520,1.57,0.54798,0.487,1.847,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOSL
BEN,Franklin Resources,Financials,35.525,1.960,10.798,3.290,19.620,34.620,54.850,21.37,3.10,2.733,1.841,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BEN
